COUNTRY,X,Y
AFRICAN,34.0,317
AFRICAN,36.0,270
AFRICAN,38.2,208
AFRICAN,43.0,150
AFRICAN,44.0,105
AFRICAN,44.0,128
AFRICAN,46.0,85
AFRICAN,48.0,75
AFRICAN,40.0,210
AFRICAN,41.0,188
AFRICAN,42.0,166
AFRICAN,45.0,132
AFRICAN,36.0,290
AFRICAN,42.6,160
AFRICAN,33.0,300
AFRICAN,33.0,320
AFRICAN,47.0,85
AFRICAN,47.0,75
AFRICAN,39.0,225
AFRICAN,39.0,232
AFRICAN,37.0,260
AFRICAN,37.0,250
AFRICAN,46.0,92
AFRICAN,45.6,110
AFRICAN,42.0,180
AFRICAN,38.8,235
LATIN,32.2,788
LATIN,47.0,202
LATIN,34.0,825
LATIN,36.0,675
LATIN,38.7,590
LATIN,40.9,408
LATIN,45.0,324
LATIN,45.4,235
LATIN,42.2,338
LATIN,44.0,292
LATIN,44.0,321
LATIN,43.0,300
LATIN,43.0,323
LATIN,40.0,484
LATIN,37.0,625
LATIN,39.0,525
LATIN,44.6,340
LATIN,33.0,765
LATIN,35.0,685
LATIN,47.4,220
LATIN,48.0,195
LATIN,37.0,605
LATIN,38.4,530
LATIN,40.6,480
LATIN,35.8,690
LATIN,36.0,685
