OBS,AGEGRP,PPM_CO,REACTIM1,REACTIM2
1,Young,0,291.5,632.0
2,Young,0,471.0,607.5
3,Young,0,692.0,859.0
4,Young,0,376.0,484.0
5,Young,0,372.5,501.0
6,Young,0,307.0,381.0
7,Young,0,501.0,559.0
8,Young,0,466.0,632.0
9,Young,0,375.0,434.0
10,Young,0,425.0,454.0
11,Young,0,343.0,542.0
12,Young,0,348.0,471.0
13,Young,0,503.0,521.0
14,Young,0,382.5,519.0
15,Young,100,472.5,515.0
16,Young,100,354.0,521.0
17,Young,100,350.0,456.0
18,Young,100,486.0,522.0
19,Young,100,402.0,472.0
20,Young,100,347.0,414.0
21,Young,100,320.0,363.0
22,Young,100,446.0,591.0
23,Young,100,410.0,539.5
24,Young,100,302.0,472.5
25,Young,100,692.5,656.0
26,Young,100,447.5,548.0
27,Young,100,525.5,527.0
28,Young,100,322.5,574.0
29,Young,100,468.5,559.5
30,Young,100,378.0,499.5
31,Young,100,497.5,529.5
32,Old,0,542.0,595.0
33,Old,0,599.0,606.0
34,Old,0,562.0,598.0
35,Old,0,586.0,744.0
36,Old,0,674.0,724.0
37,Old,0,762.0,836.5
38,Old,0,697.0,834.0
39,Old,0,583.0,698.5
40,Old,0,533.5,668.0
41,Old,0,524.5,670.0
42,Old,0,500.0,587.0
43,Old,0,680.0,912.5
44,Old,0,563.5,619.0
45,Old,100,523.5,646.5
46,Old,100,770.0,862.5
47,Old,100,712.0,829.0
48,Old,100,653.0,697.0
49,Old,100,699.5,818.0
50,Old,100,561.0,819.5
51,Old,100,751.0,872.0
52,Old,100,520.5,889.0
53,Old,100,523.0,601.0
